14.10.22 21:15
Статистика проєкту

                      	Сегментів	  Слів	Символів без пробілів	Символів із пробілами	Кількість файлів	
Загалом:              	    71937	520590	              2784969	              3235680	             891	
Залишилося:           	    71914	520347	              2783506	              3233996	             889	
Унікальних:           	    63928	491225	              2627282	              3056532	             878	
Залишилося унікальних:	    63905	490982	              2625819	              3054848	             876	


Статистика за окремими файлами:

Назва файлу                                                                                	Загалом сегментів	Залишилося сегментів	Унікальних сегментів	Залишилося унікальних сегментів	Загалом слів	Залишилося слів	Слів в унікальних сегментах	Залишилося слів в унікальних сегментах	Загалом символів без пробілів	Залишилося символів без пробілів	Символів без пробілів в унікальних сегментах	Залишилося символів без пробілів в унікальних сегментах	Загалом символів із пробілами	Залишилося символів із пробілами	Символів із пробілами в унікальних сегментах	Залишилося символів із пробілами в унікальних сегментах	
Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_SQ505_Citizen_M7.d.json    	                9	                   9	                   9	                              9	          74	             74	                         74	                                    74	                          405	                             405	                                         405	                                                    405	                          470	                             470	                                         470	                                                    470	
Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_VolfzackWarrior.d.json     	                8	                   8	                   8	                              8	          20	             20	                         20	                                    20	                          120	                             120	                                         120	                                                    120	                          132	                             132	                                         132	                                                    132	
Scripts/Content/Story/B_AssignAmbientInfos/B_CryingForHelp.d.json                          	                5	                   5	                   4	                              4	          12	             12	                         11	                                    11	                           83	                              83	                                          74	                                                     74	                           90	                              90	                                          81	                                                     81	
Scripts/Content/Story/B_AssignAmbientInfos/B_Preach_Laudus.d.json                          	               21	                  21	                  21	                             21	         255	            255	                        255	                                   255	                         1375	                            1375	                                        1375	                                                   1375	                         1610	                            1610	                                        1610	                                                   1610	
Scripts/Content/Story/B_AssignAmbientInfos/B_Preach_Tengral.d.json                         	               23	                  23	                  23	                             23	         280	            280	                        280	                                   280	                         1514	                            1514	                                        1514	                                                   1514	                         1773	                            1773	                                        1773	                                                   1773	
Scripts/Content/Story/B_AssignAmbientInfos/B_Preach_Terry.d.json                           	                8	                   8	                   8	                              8	          91	             91	                         91	                                    91	                          428	                             428	                                         428	                                                    428	                          514	                             514	                                         514	                                                    514	
Scripts/Content/Story/B_AssignAmbientInfos/B_Preach_Trimegisto.d.json                      	                4	                   4	                   4	                              4	          23	             23	                         23	                                    23	                          142	                             142	                                         142	                                                    142	                          162	                             162	                                         162	                                                    162	
Scripts/Content/Story/B_AssignAmbientInfos/B_Speech_Herald.d.json                          	               39	                  39	                  39	                             39	         634	            634	                        634	                                   634	                         4030	                            4030	                                        4030	                                                   4030	                         4626	                            4626	                                        4626	                                                   4626	
Scripts/Content/Story/B_AssignAmbientInfos/B_Speech_Screaming.d.json                       	                1	                   1	                   1	                              1	           1	              1	                          1	                                     1	                           65	                              65	                                          65	                                                     65	                           65	                              65	                                          65	                                                     65	
Scripts/Content/Story/B_AssignAmbientInfos/B_Speech_VolkerSpeaker.d.json                   	               33	                  33	                  33	                             33	         274	            274	                        274	                                   274	                         1525	                            1525	                                        1525	                                                   1525	                         1767	                            1767	                                        1767	                                                   1767	
Scripts/Content/Story/B_AssignAmbientInfos/B_Speech_VolkerSpeaker2.d.json                  	               33	                  33	                  15	                             15	         271	            271	                        139	                                   139	                         1472	                            1472	                                         763	                                                    763	                         1711	                            1711	                                         888	                                                    888	
Scripts/Content/Story/B_AssignAmbientInfos/B_Speech_VolkerSpeaker3.d.json                  	               33	                  33	                   0	                              0	         271	            271	                          0	                                     0	                         1472	                            1472	                                           0	                                                      0	                         1711	                            1711	                                           0	                                                      0	
Scripts/Content/Story/B_Story/B_KQ403.d.json                                               	                2	                   2	                   2	                              2	          10	             10	                         10	                                    10	                           53	                              53	                                          53	                                                     53	                           61	                              61	                                          61	                                                     61	
Scripts/Content/Story/B_Story/B_KQ407.d.json                                               	                2	                   2	                   2	                              2	           3	              3	                          3	                                     3	                           22	                              22	                                          22	                                                     22	                           23	                              23	                                          23	                                                     23	
Scripts/Content/Story/B_Story/B_MarvinCheat.d.json                                         	                1	                   1	                   1	                              1	           3	              3	                          3	                                     3	                            8	                               8	                                           8	                                                      8	                           10	                              10	                                          10	                                                     10	
Scripts/Content/Story/B_Story/B_PotionSeller.d.json                                        	               21	                  21	                  21	                             21	         164	            164	                        164	                                   164	                          771	                             771	                                         771	                                                    771	                          914	                             914	                                         914	                                                    914	
Scripts/Content/Story/B_Story/B_Q301.d.json                                                	                1	                   1	                   1	                              1	           9	              9	                          9	                                     9	                           34	                              34	                                          34	                                                     34	                           42	                              42	                                          42	                                                     42	
Scripts/Content/Story/B_Story/B_Q305.d.json                                                	                2	                   2	                   2	                              2	           6	              6	                          6	                                     6	                           28	                              28	                                          28	                                                     28	                           32	                              32	                                          32	                                                     32	
Scripts/Content/Story/B_Story/B_Q312.d.json                                                	                2	                   2	                   2	                              2	           5	              5	                          5	                                     5	                           38	                              38	                                          38	                                                     38	                           41	                              41	                                          41	                                                     41	
Scripts/Content/Story/B_Story/B_Q404.d.json                                                	                1	                   1	                   1	                              1	           6	              6	                          6	                                     6	                           35	                              35	                                          35	                                                     35	                           40	                              40	                                          40	                                                     40	
Scripts/Content/Story/B_Story/B_Q514.d.json                                                	                3	                   3	                   3	                              3	          16	             16	                         16	                                    16	                           99	                              99	                                          99	                                                     99	                          112	                             112	                                         112	                                                    112	
Scripts/Content/Story/B_Story/B_Q602.d.json                                                	               13	                  13	                  13	                             13	          80	             80	                         80	                                    80	                          439	                             439	                                         439	                                                    439	                          506	                             506	                                         506	                                                    506	
Scripts/Content/Story/B_Story/B_QM203.d.json                                               	                1	                   1	                   1	                              1	           5	              5	                          5	                                     5	                           23	                              23	                                          23	                                                     23	                           27	                              27	                                          27	                                                     27	
Scripts/Content/Story/B_Story/B_QM301_Broom.d.json                                         	                4	                   4	                   4	                              4	          23	             23	                         23	                                    23	                          144	                             144	                                         144	                                                    144	                          163	                             163	                                         163	                                                    163	
Scripts/Content/Story/B_Story/B_SQ101.d.json                                               	                1	                   1	                   1	                              1	           2	              2	                          2	                                     2	                           11	                              11	                                          11	                                                     11	                           12	                              12	                                          12	                                                     12	
Scripts/Content/Story/B_Story/B_SQ227.d.json                                               	                7	                   7	                   7	                              7	          28	             28	                         28	                                    28	                          179	                             179	                                         179	                                                    179	                          200	                             200	                                         200	                                                    200	
Scripts/Content/Story/B_Story/B_SQ417.d.json                                               	                1	                   1	                   1	                              1	           5	              5	                          5	                                     5	                           26	                              26	                                          26	                                                     26	                           30	                              30	                                          30	                                                     30	
Scripts/Content/Story/B_Story/B_Traps.d.json                                               	                7	                   7	                   7	                              7	          23	             23	                         23	                                    23	                          120	                             120	                                         120	                                                    120	                          136	                             136	                                         136	                                                    136	
Scripts/Content/Story/B_Story/FinalBoards.d.json                                           	              148	                 148	                 148	                            148	        2083	           2083	                       2083	                                  2083	                        11800	                           11800	                                       11800	                                                  11800	                        13739	                           13739	                                       13739	                                                  13739	
Scripts/Content/Story/Cutscenes/FMQ003_Volker.d.json                                       	                9	                   9	                   9	                              9	          53	             53	                         53	                                    53	                          254	                             254	                                         254	                                                    254	                          298	                             298	                                         298	                                                    298	
Scripts/Content/Story/Cutscenes/GQ001_GonzaloDeathCutscene.d.json                          	               33	                  33	                  33	                             33	         232	            232	                        232	                                   232	                         1187	                            1187	                                        1187	                                                   1187	                         1386	                            1386	                                        1386	                                                   1386	
Scripts/Content/Story/Cutscenes/GQ001_YannickSmalltalkCutscene.d.json                      	               10	                  10	                   9	                              9	          62	             62	                         60	                                    60	                          292	                             292	                                         283	                                                    283	                          344	                             344	                                         334	                                                    334	
Scripts/Content/Story/Cutscenes/KQ402_Arwid.d.json                                         	                6	                   6	                   6	                              6	          38	             38	                         38	                                    38	                          199	                             199	                                         199	                                                    199	                          231	                             231	                                         231	                                                    231	
Scripts/Content/Story/Cutscenes/KQ402_Roderich.d.json                                      	                7	                   7	                   6	                              6	          30	             30	                         29	                                    29	                          154	                             154	                                         145	                                                    145	                          177	                             177	                                         168	                                                    168	
Scripts/Content/Story/Cutscenes/KQ403_Kaleb.d.json                                         	                6	                   6	                   6	                              6	          36	             36	                         36	                                    36	                          170	                             170	                                         170	                                                    170	                          200	                             200	                                         200	                                                    200	
Scripts/Content/Story/Cutscenes/KQ404_InExtremoBigConcert.d.json                           	               25	                  25	                  25	                             25	         154	            154	                        154	                                   154	                          852	                             852	                                         852	                                                    852	                          981	                             981	                                         981	                                                    981	
Scripts/Content/Story/Cutscenes/KQ404_InExtremoBigConcert_Euric.d.json                     	               15	                  15	                  15	                             15	          61	             61	                         61	                                    61	                          351	                             351	                                         351	                                                    351	                          397	                             397	                                         397	                                                    397	
Scripts/Content/Story/Cutscenes/KQ406_FinishCutscene.d.json                                	               26	                  26	                  25	                             25	         163	            163	                        159	                                   159	                          822	                             822	                                         803	                                                    803	                          960	                             960	                                         938	                                                    938	
Scripts/Content/Story/Cutscenes/KQ407_CapturedOrc.d.json                                   	               25	                  25	                  18	                             18	          91	             91	                         68	                                    68	                          518	                             518	                                         386	                                                    386	                          584	                             584	                                         436	                                                    436	
